order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,region,state,city,category,sub_category,product_name,quantity,unit_price,discount,sales,profit,payment_method
ORD-2025-02095,10/05/2025,2025-05-13,First Class,CUST-0049,Emily Patel,Consumer,West,Oregon,Portland,Office Supplies,Storage,Storage Box,4,157.09,0.0,628.36,132.59,Cash on Delivery
ORD-2025-01613,2025-10-25,2025-10-31,Standard Class,CUST-0433,Sofia Williams,Corporate,South,Tennessee,Nashville,Office Supplies,Binders,3-Ring Binder,2,25.29,0.3,35.41,4.33,Cash on Delivery
ORD-2024-05859,2024-01-18,2024-01-23,Second Class,CUST-0434,John Khan,Consumer,South,Georgia,Atlanta,Technology,Phones,Smartphone X,4,342.39,0.3,958.69,-1.36,Debit Card
ORD-2024-04295,2024-02-11,2024-02-15,Second Class,CUST-0346,Olivia Patel,Corporate,South,Florida,Orlando,Furniture,Bookcases,Corner Bookcase,6,317.73,0.0,1906.38,-35.83,Cash on Delivery
ORD-2025-02572,2025-06-06,2025-06-11,Standard Class,CUST-0586,Priya Khan,Corporate,West,Arizona,Phoenix,Office Supplies,Storage,File Cabinet,2,71.43,0.1,128.57,24.26,PayPal
ORD-2024-03782,2024-12-13,2024-12-13,Same Day,CUST-0063,James Brown,Consumer,Central,Illinois,Chicago,Office Supplies,Art,Marker Set,5,4.59,0.0,$22.95,5.13,Credit Card
ORD-2025-01006,2025-11-14,2025-11-19,Standard Class,CUST-0579,Rahul Patel,Corporate,West,Arizona,Phoenix,Furniture,Tables,Coffee Table,2,896.85,0.0,1793.7,154.6,Cash on Delivery
ORD-2024-04702,2024-08-12,2024-08-13,Same Day,CUST-0675,Olivia Brown,Home Office,East,New Jersey,Newark,Furniture,Bookcases,5-Shelf Bookcase,4,116.21,0.1,418.36,-33.68,Credit Card
ORD-2024-01818,2024-04-08,2024-04-12,First Class,CUST-0426,Arjun Verma,Corporate,Central,Ohio,Columbus,Technology,Phones,Smartphone X,3,384.6,0.2,923.04,102.6,Cash on Delivery
ORD-2025-04404,2025-11-12,2025-11-19,Standard Class,CUST-0783,David Verma,Consumer,Central,Ohio,Columbus,Furniture,Bookcases,5-Shelf Bookcase,2,322.22,0.0,644.44,-13.64,Cash on Delivery
ORD-2024-00682,2024-06-12,2024-06-15,First Class,CUST-0672,John Verma,Home Office,West,California,Los Angeles,Office Supplies,Art,Highlighter Pack,3,12.03,0.1,32.48,8.57,Debit Card
ORD-2025-05088,15/10/2025,2025-10-20,,CUST-0634,David Singh,Home Office,West,Arizona,Phoenix,OFFICE SUPPLIES,Storage,Storage Box,2,34.44,0.0,68.88,16.46,Debit Card
